"Vg","Ic"
0.0,2.79e-08
0.025,2.28e-08
0.05,1.83e-08
0.075,1.61e-08
0.1,1.45e-08
0.125,1.44e-08
0.15,1.27e-08
0.175,9.4e-09
0.2,9.7e-09
0.225,7.8e-09
0.25,8.9e-09
0.275,7.4e-09
0.3,7.6e-09
0.325,1.08e-08
0.35,9.9e-09
0.375,1.03e-08
0.4,1.73e-08
0.425,2.49e-08
0.45,4.17e-08
0.475,7.33e-08
0.5,1.323e-07
0.525,2.42e-07
0.55,4.26e-07
0.575,7.27e-07
0.6,1.195e-06
0.625,1.879e-06
0.65,2.82e-06
0.675,4.09e-06
0.7,5.72e-06
0.725,7.7e-06
0.75,1.006e-05
0.775,1.287e-05
0.8,1.614e-05
0.825,1.987e-05
0.85,2.44e-05
0.875,2.9e-05
0.9,3.41e-05
0.925,3.97e-05
0.95,4.57e-05
0.975,5.23e-05
1.0,5.94e-05
1.025,6.71e-05
1.05,7.51e-05
1.075,8.36e-05
1.1,9.26e-05
1.125,0.000102
1.15,0.0001119
1.175,0.0001221
1.2,0.0001327
1.225,0.0001438
1.25,0.0001555
1.275,0.0001676
1.3,0.00018
1.325,0.0001927
1.35,0.000208
1.375,0.000222
1.4,0.000236
1.425,0.000251
1.45,0.000265
1.475,0.00028
1.5,0.000297
1.525,0.000313
1.55,0.00033
1.575,0.000347
1.6,0.000364
1.625,0.000382
1.65,0.000401
1.675,0.000419
1.7,0.000437
1.725,0.000456
1.75,0.000476
1.775,0.000496
1.8,0.000517
1.825,0.000537
1.85,0.000557
1.875,0.000579
1.9,0.000601
1.925,0.000623
1.95,0.000645
1.975,0.000667
2.0,0.00069
2.025,0.000712
2.05,0.000736
2.075,0.000761
2.1,0.000785
2.125,0.00081
2.15,0.000835
2.175,0.000861
2.2,0.000887
2.225,0.000913
2.25,0.000939
2.275,0.000966
2.3,0.000993
2.325,0.00102
2.35,0.001048
2.375,0.001075
2.4,0.001103
2.425,0.001131
2.45,0.001159
2.475,0.001189
2.5,0.001218
2.525,0.001248
2.55,0.001278
2.575,0.001308
2.6,0.001338
2.625,0.001368
2.65,0.001399
2.675,0.00143
2.7,0.001461
2.725,0.001492
2.75,0.001524
2.775,0.001557
2.8,0.001589
2.825,0.001621
2.85,0.001653
2.875,0.001686
2.9,0.001718
2.925,0.001751
2.95,0.001783
2.975,0.001818
3.0,0.001852
3.025,0.001887
3.05,0.001921
3.075,0.001957
3.1,0.00199
3.125,0.00206
3.15,0.00209
3.175,0.00212
3.2,0.00216
3.225,0.00219
3.25,0.00223
3.275,0.00226
3.3,0.0023
3.325,0.00233
3.35,0.00237
3.375,0.0024
3.4,0.00243
3.425,0.00247
3.45,0.0025
3.475,0.00253
3.5,0.00257
3.525,0.0026
3.55,0.00264
3.575,0.00267
3.6,0.00271
3.625,0.00274
3.65,0.00277
3.675,0.00281
3.7,0.00284
3.725,0.00287
3.75,0.00291
3.775,0.00294
3.8,0.00298
3.825,0.00301
3.85,0.00304
3.875,0.00307
3.9,0.00311
3.925,0.00314
3.95,0.00317
3.975,0.0032
4.0,0.00323
4.025,0.00327
4.05,0.0033
4.075,0.00334
4.1,0.00337
4.125,0.0034
4.15,0.00344
4.175,0.00347
4.2,0.0035
4.225,0.00353
4.25,0.00356
4.275,0.0036
4.3,0.00363
4.325,0.00366
4.35,0.00369
4.375,0.00372
4.4,0.00375
4.425,0.00378
4.45,0.00381
4.475,0.00384
4.5,0.00388
4.525,0.00391
4.55,0.00394
4.575,0.00397
4.6,0.004
4.625,0.00403
4.65,0.00406
4.675,0.00409
4.7,0.00412
4.725,0.00415
4.75,0.00418
4.775,0.00421
4.8,0.00424
4.825,0.00428
4.85,0.00431
4.875,0.00434
4.9,0.00437
4.925,0.0044
4.95,0.00443
4.975,0.00446
5.0,0.00449
