"Vd","Ic"
-5.0,-0.001771
-4.95,-0.001766
-4.9,-0.001762
-4.85,-0.001757
-4.8,-0.001753
-4.75,-0.001749
-4.7,-0.001745
-4.65,-0.00174
-4.6,-0.001736
-4.55,-0.001731
-4.5,-0.001726
-4.45,-0.001721
-4.4,-0.001716
-4.35,-0.001711
-4.3,-0.001705
-4.25,-0.001698
-4.2,-0.001691
-4.15,-0.001684
-4.1,-0.001676
-4.05,-0.001667
-4.0,-0.001654
-3.95,-0.001644
-3.9,-0.001634
-3.85,-0.001624
-3.8,-0.001613
-3.75,-0.001602
-3.7,-0.00159
-3.65,-0.001579
-3.6,-0.001566
-3.55,-0.001554
-3.5,-0.001541
-3.45,-0.001528
-3.4,-0.001514
-3.35,-0.0015
-3.3,-0.001486
-3.25,-0.001471
-3.2,-0.001456
-3.15,-0.001441
-3.1,-0.001425
-3.05,-0.001409
-3.0,-0.001392
-2.95,-0.001375
-2.9,-0.001358
-2.85,-0.00134
-2.8,-0.001321
-2.75,-0.001302
-2.7,-0.001282
-2.65,-0.001263
-2.6,-0.001243
-2.55,-0.001222
-2.5,-0.0012
-2.45,-0.001178
-2.4,-0.001156
-2.35,-0.001132
-2.3,-0.001108
-2.25,-0.001084
-2.2,-0.001059
-2.15,-0.001034
-2.1,-0.001007
-2.05,-0.00098
-2.0,-0.000951
-1.95,-0.000923
-1.9,-0.000895
-1.85,-0.000865
-1.8,-0.000835
-1.75,-0.000804
-1.7,-0.000773
-1.65,-0.000742
-1.6,-0.00071
-1.55,-0.000676
-1.5,-0.000642
-1.45,-0.000607
-1.4,-0.000573
-1.35,-0.000537
-1.3,-0.000501
-1.25,-0.000464
-1.2,-0.000426
-1.15,-0.000388
-1.1,-0.000349
-1.05,-0.000309
-1.0,-0.000269
-0.95,-0.000229
-0.9,-0.000187
-0.85,-0.000144
-0.8,-0.000101
-0.75,-6.09e-05
-0.7,-1.67e-05
-0.65,2.85e-05
-0.6,7.56e-05
-0.55,0.0001228
-0.5,0.0001708
-0.45,0.000224
-0.4,0.000273
-0.35,0.000323
-0.3,0.000375
-0.25,0.00043
-0.2,0.000485
-0.15,0.000541
-0.1,0.000599
-0.05,0.000661
0.0,0.000725
